desa  ,longitude,latitude,luas_sawah_ha,kec,c,clat,clong
Plandi,112.521752,-8.111376,593.8,Wonosari,1,-8.145971173121303,279.00798459819464
Plaosan,112.509546,-8.082372,221.2,Wonosari,1,-8.145971173121303,279.00798459819464
Kebobang,112.506689,-8.054742999999998,105.5,Wonosari,2,-8.076277541865924,60.962571606312025
Wonosari,112.497859,-8.032688,1.0,Wonosari,2,-8.076277541865924,60.962571606312025
Sumbertempur,112.48573799999998,-8.048026,6.5,Wonosari,2,-8.076277541865924,60.962571606312025
Sumberdem,112.461845,-8.049584,30.4,Wonosari,2,-8.076277541865924,60.962571606312025
Slorok,112.515814,-8.166833,178.0,Kromengan,0,-8.077813741918447,155.9316129943443
Jatikerto,112.539469,-8.13535,333.0,Kromengan,1,-8.145971173121303,279.00798459819464
Ngadirejo,112.509478,-8.132521,179.0,Kromengan,0,-8.077813741918447,155.9316129943443
Kromengan,112.490001,-8.1302,491.047,Kromengan,0,-8.077813741918447,155.9316129943443
Peniwen,112.470746,-8.1157,233.058,Kromengan,1,-8.145971173121303,279.00798459819464
Jambuwer,112.461711,-8.091896,311.915,Kromengan,1,-8.145971173121303,279.00798459819464
Karangrejo,112.485646,-8.113125,234.4,Kromengan,1,-8.145971173121303,279.00798459819464
Sumberpucung,112.472907,-8.156903,277.0,Sumberpucung,1,-8.145971173121303,279.00798459819464
Jatiguwi,112.485773,-8.166053999999999,250.0,Sumberpucung,1,-8.145971173121303,279.00798459819464
Sambigede,112.505457,-8.158365,193.0,Sumberpucung,0,-8.077813741918447,155.9316129943443
Senggreng,112.509604,-8.178424,311.0,Sumberpucung,1,-8.145971173121303,279.00798459819464
Ternyang,112.527165,-8.172371,307.0,Sumberpucung,1,-8.145971173121303,279.00798459819464
Ngebruk,112.527325,-8.156945,188.0,Sumberpucung,0,-8.077813741918447,155.9316129943443
Karangkates,112.456045,-8.150917999999999,166.0,Sumberpucung,0,-8.077813741918447,155.9316129943443
Kelurahan Kepanjen,112.570851,-8.131085,39.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Kelurahan Ardirejo,112.579484,-8.125332,73.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Kelurahan Cepokomulyo,112.561701,-8.138992,25.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Kelurahan Penarukan,112.575303,-8.140208,98.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Jenggolo,112.545204,-8.172101,215.0,Kepanjen,1,-8.145971173121303,279.00798459819464
Sengguruh,112.552692,-8.173046000000001,60.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Kemiri,112.561699,-8.167278,136.0,Kepanjen,0,-8.077813741918447,155.9316129943443
Tegalsari,112.575178,-8.165087,163.0,Kepanjen,0,-8.077813741918447,155.9316129943443
Mangunrejo,112.545516,-8.156385,218.0,Kepanjen,1,-8.145971173121303,279.00798459819464
Panggungrejo,112.55738999999998,-8.145959,135.0,Kepanjen,0,-8.077813741918447,155.9316129943443
Kedung Pedaringan,112.579538,-8.148477,75.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Talangagung,112.55279,-8.127716,75.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Dilem,112.56905,-8.114708,67.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Sukoraharjo,112.597746,-8.111033,150.0,Kepanjen,0,-8.077813741918447,155.9316129943443
Curungrejo,112.60544099999998,-8.096589999999999,145.0,Kepanjen,0,-8.077813741918447,155.9316129943443
Jatirejoyoso,112.587805,-8.107004,256.0,Kepanjen,1,-8.145971173121303,279.00798459819464
Ngadilangkung,112.575145,-8.103902,101.0,Kepanjen,2,-8.076277541865924,60.962571606312025
Mojosari,112.58276,-8.089475,122.0,Kepanjen,0,-8.077813741918447,155.9316129943443
Sukorejo,112.585728,-8.150309,127.0,Gondanglegi,0,-8.077813741918447,155.9316129943443
Bulupitu,112.598996,-8.133952,244.0,Gondanglegi,1,-8.145971173121303,279.00798459819464
Sukosari,112.598919,-8.15373,155.328,Gondanglegi,0,-8.077813741918447,155.9316129943443
Panggungrejo,112.606419,-8.148913,109.0,Gondanglegi,0,-8.077813741918447,155.9316129943443
Gondanglegi Kulon,112.626011,-8.169706,440.0,Gondanglegi,2,-8.076277541865924,60.962571606312025
Gondanglegi Wetan,112.640998,-8.186022999999999,36.7,Gondanglegi,2,-8.076277541865924,60.962571606312025
Putat Kidul,112.64646,-8.164882,152.0,Gondanglegi,0,-8.077813741918447,155.9316129943443
Putat Lor,112.647147,-8.154909,288.7,Gondanglegi,1,-8.145971173121303,279.00798459819464
Sepanjang,112.661364,-8.186928,350.0,Gondanglegi,1,-8.145971173121303,279.00798459819464
Urekurek,112.66476000000002,-8.143761999999999,1.0,Gondanglegi,2,-8.076277541865924,60.962571606312025
Ketawang,112.64661,-8.140258,133.0,Gondanglegi,0,-8.077813741918447,155.9316129943443
Ganjaran,112.616661,-8.141499000000001,450.0,Gondanglegi,2,-8.076277541865924,60.962571606312025
Putukrejo,112.62885,-8.12648,350.0,Gondanglegi,1,-8.145971173121303,279.00798459819464
Sumberjaya,112.610932,-8.123038000000001,120.0,Gondanglegi,0,-8.077813741918447,155.9316129943443
Kanigoro,112.580973,-8.184084,511.0,Pagelaran,0,-8.077813741918447,155.9316129943443
Balearjo,112.569084,-8.196335000000001,138.0,Pagelaran,0,-8.077813741918447,155.9316129943443
Kademangan,112.593106,-8.203845,377.0,Pagelaran,2,-8.076277541865924,60.962571606312025
Suwaru,112.611069,-8.214007,77.0,Pagelaran,2,-8.076277541865924,60.962571606312025
Clumprit,112.622717,-8.227921,279.0,Pagelaran,1,-8.145971173121303,279.00798459819464
Sidorejo,112.637727,-8.210555000000001,125.0,Pagelaran,0,-8.077813741918447,155.9316129943443
Pagelaran,112.616722,-8.198898,248.0,Pagelaran,1,-8.145971173121303,279.00798459819464
Banjarejo,112.616967,-8.183686999999999,283.0,Pagelaran,1,-8.145971173121303,279.00798459819464
Brongkal,112.593518,-8.173273,320.0,Pagelaran,1,-8.145971173121303,279.00798459819464
Karangsuko,112.59908,-8.165801,292.0,Pagelaran,1,-8.145971173121303,279.00798459819464
Arjosari,112.399132,-8.212446,1.0,Kalipare,2,-8.076277541865924,60.962571606312025
Tumpakrejo,112.435068,-8.229903,80.0,Kalipare,2,-8.076277541865924,60.962571606312025
Putukrejo,112.458395,-8.238068,90.0,Kalipare,2,-8.076277541865924,60.962571606312025
Sumberpetung,112.483974,-8.246625,60.0,Kalipare,2,-8.076277541865924,60.962571606312025
Kalipare,112.470535,-8.205635000000001,132.0,Kalipare,0,-8.077813741918447,155.9316129943443
Sukowilangun,112.446426,-8.176892,75.0,Kalipare,2,-8.076277541865924,60.962571606312025
Arjowinangun,112.423392,-8.18797,285.0,Kalipare,1,-8.145971173121303,279.00798459819464
Kalirejo,112.388212,-8.172186,1.0,Kalipare,2,-8.076277541865924,60.962571606312025
Kaliasri,112.434674,-8.25176,115.0,Kalipare,0,-8.077813741918447,155.9316129943443
Sumberoto,112.375845,-8.330538,150.0,Donomulyo,0,-8.077813741918447,155.9316129943443
Purworejo,112.424352,-8.275314,170.0,Donomulyo,0,-8.077813741918447,155.9316129943443
Donomulyo,112.424352,-8.275314,412.29,Donomulyo,2,-8.076277541865924,60.962571606312025
Tempursari,112.438077,-8.304997,251.0,Donomulyo,1,-8.145971173121303,279.00798459819464
Tlogosari,112.471698,-8.276795,116.0,Donomulyo,0,-8.077813741918447,155.9316129943443
Kedungsalam,112.44112,-8.342691,135.0,Donomulyo,0,-8.077813741918447,155.9316129943443
Banjarjo,112.474793,-8.345366,180.0,Donomulyo,0,-8.077813741918447,155.9316129943443
Tulungrejo,112.482306,-8.359055,295.0,Donomulyo,1,-8.145971173121303,279.00798459819464
